full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
0	226	0	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
40	1570	0	11	8	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	1|1|0	0|1|0	0|1|0	0	0	0
23	664	0	15	16	0	0|1|0	0|1|0	0|1|0	0	10	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	1|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	11	0	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	866	0	15	15	0	0|0|0	0|0|0	0|0|0	0	0	0
249	1058	0	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1280	0	0	12	0	1|1|0	0|1|0	0|1|0	0	0	0
0	226	0	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
279	1570	0	11	8	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
249	1327	0	15	16	0	0|0|0	0|0|0	0|0|0	0	10	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	11	0	16	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
221	866	2232	15	15	16	0|1|0	0|1|0	0|1|0	35	10	0
0	1058	0	0	14	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1280	0	0	12	0	1|1|0	0|1|0	1|1|0	0	0	0
0	226	0	0	10	0	0|0|0	0|0|0	0|0|0	0	0	0
0	1570	2655	15	8	16	0|1|0	0|1|0	0|1|0	42	10	0
249	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	1|1|0	0|1|0	1|1|0	0	0	0
0	1116	1116	15	16	16	0|1|0	0|1|0	0|1|0	35	10	0
221	0	0	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	0	0	0	0|1|0	0|1|0	1|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	0	11	0	16	0|1|0	0|1|0	0|1|0	0	0	0
0	0	0	0	16	0	0|0|0	0|0|0	0|0|0	0	0	0
